cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
0.9409409409409409,False,1,156.66666666666666,940,time0,4.266666666666667,0,59,0.2283,time0,0.939060939060939,2,TIME0,0.8792845872336426,0.8883,0.1521,31.333333333333332,"[2, 12, 14, 16, 17, 22, 27]",6,6.382978723404255,1000
1.0,False,0,437.0,874,time0,7.166666666666667,1,0,0.2784,time0,0.8731268731268731,2,TIME0,0.9474846240958736,0.9966,0.0,29.133333333333333,"[3, 11, 15]",2,2.288329519450801,875
1.0,False,0,,999,time0,,2,0,0.1978,time0,0.998001998001998,2,TIME0,0.882045209452122,0.997,0.0,33.3,[9],0,0.0,1000
0.8938938938938938,False,1,893.0,893,time0,29.766666666666666,3,106,0.2378,time0,0.8921078921078921,2,TIME0,0.9424527892165052,0.9944,0.0,29.766666666666666,"[4, 25]",1,1.1198208286674132,1000
1.0,False,0,908.0,908,time0,30.266666666666666,4,0,0.2527,time0,0.9070929070929071,2,TIME0,0.9498090633029868,0.9967,0.0,30.266666666666666,"[5, 20]",1,1.1013215859030836,909
0.964964964964965,False,1,482.0,964,time1,11.9,5,35,0.2517,time1,0.9630369630369631,2,TIME1,0.8929646969326661,0.9927,0.0,32.13333333333333,"[8, 13, 21]",2,2.074688796680498,1000
1.0,False,0,,999,time1,,6,0,0.1257,time1,0.998001998001998,2,TIME1,0.9312805041614444,0.997,0.0,33.3,[6],0,0.0,1000
1.0,False,0,999.0,999,time1,33.3,7,0,0.2182,time1,0.998001998001998,2,TIME1,0.9361223393561005,0.997,0.0,33.3,"[7, 19]",1,1.001001001001001,1000
1.0,False,0,,999,time1,,8,0,0.2091,time1,0.998001998001998,2,TIME1,0.8587551623597673,0.997,0.0,33.3,[10],0,0.0,1000
1.0,False,0,499.5,999,goleiro_time1,5.133333333333334,9,0,0.1236,goleiro1,0.998001998001998,2,GOL-TIME1,0.865678280784055,0.997,0.2923,33.3,"[1, 22, 23]",2,2.002002002002002,1000
