cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
0.9980988593155894,False,0,105.0,525,time0,1.207715159524991,0,1,0.0874,time0,0.9980988593155894,1,TIME0,0.9307089554738972,0.981,0.0,17.491047137948147,"[2, 85, 236, 237]",5,9.523809523809524,526
0.9942965779467681,False,0,130.75,523,time0,2.298823338130328,1,2,0.0658,time0,0.9942965779467681,1,TIME0,0.8713570323788039,0.6004,0.0096,17.42441457742263,"[5, 6, 144, 204]",4,7.648183556405353,526
0.9980988593155894,False,0,75.0,525,time0,1.2438077964763128,2,1,0.1079,time0,0.9980988593155894,1,TIME0,0.9105449227146494,0.9867,0.1524,17.491047137948147,"[3, 5, 6, 43, 85, 125]",7,13.333333333333334,526
1.0,False,0,87.66666666666667,526,time0,1.1860595773541982,3,0,0.1607,time0,1.0,1,TIME0,0.9148562638265916,0.9772,0.3137,17.524363418210907,"[1, 8, 57, 85, 125]",6,11.406844106463879,526
1.0,False,0,131.5,526,time0,1.965660535502744,4,0,0.0548,time0,1.0,1,TIME0,0.8522857062425971,0.6293,0.6179,17.524363418210907,"[6, 9, 85, 125]",4,7.604562737642586,526
0.9638783269961977,False,1,126.75,507,time1,0.4775333504328701,5,10,0.1215,time1,0.9638783269961977,1,TIME1,0.8622556779872276,0.3097,0.071,16.891354093218496,"[1, 4, 63, 85]",4,7.889546351084813,526
1.0,False,0,58.44444444444444,526,time1,1.4409291213642998,6,0,0.1442,time1,1.0,1,TIME1,0.9053645700187192,0.9867,0.1635,17.524363418210907,"[4, 7, 52, 141, 197]",9,17.11026615969582,526
0.9923954372623575,False,1,104.4,522,time1,2.7819094019403243,7,4,0.2334,time1,0.9923954372623575,1,TIME1,0.8996378338437792,0.9349,0.3525,17.39109829715987,"[2, 4, 23, 42, 57, 125]",5,9.578544061302683,526
0.9524714828897338,False,2,125.25,501,time1,2.0989256565537775,8,10,0.2516,time1,0.9524714828897338,1,TIME1,0.9257160510810588,0.976,0.0,16.691456411641948,"[1, 10, 12, 88]",4,7.984031936127744,526
0.9942965779467681,False,0,523.0,523,goleiro_time1,17.42441457742263,9,2,0.1387,goleiro1,0.9942965779467681,1,GOL-TIME1,0.8632415788224356,0.9924,0.631,17.42441457742263,"[9, 88]",1,1.9120458891013383,526
0.5798816568047337,True,6,73.5,294,excluido,4.131218752582039,10,109,0.1139,excluir,0.55893536121673,20,EXCLUÍDO,0.6315888165084129,0.6122,0.6122,9.794986397250963,"[6, 19, 73, 129, 220]",4,13.605442176870747,526
