cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,,72,time0,,0,0,0.2715,time0,1.0,1,TIME0,0.9808994020715652,0.9444,0.0,2.398772178918603,[2],0,0.0,72
1.0,False,0,,72,time0,,1,0,0.055,time0,1.0,1,TIME0,0.8559486399996652,0.9444,0.0,2.398772178918603,[5],0,0.0,72
1.0,False,0,,72,time0,,2,0,0.1221,time0,1.0,1,TIME0,0.9580594749517733,0.9444,0.0,2.398772178918603,[3],0,0.0,72
1.0,False,0,,72,time0,,3,0,0.0804,time0,1.0,1,TIME0,0.966685224134943,0.9028,0.0,2.398772178918603,[8],0,0.0,72
1.0,False,0,,72,time0,,4,0,0.0283,time0,1.0,1,TIME0,0.8634493214245132,0.0,0.0,2.398772178918603,[6],0,0.0,72
1.0,False,0,,72,time1,,5,0,0.4318,time1,1.0,1,TIME1,0.94635136856298,0.9444,0.0,2.398772178918603,[1],0,0.0,72
1.0,False,0,,72,time1,,6,0,0.1458,time1,1.0,1,TIME1,0.938548125311151,0.9444,0.0,2.398772178918603,[7],0,0.0,72
0.8194444444444444,False,1,29.5,59,time1,1.3992837710358519,7,10,0.144,time1,0.8194444444444444,1,TIME1,0.8497349970808803,0.3898,0.0,1.965660535502744,"[10, 12, 23]",2,33.898305084745765,72
0.9166666666666666,False,1,66.0,66,time1,2.198874497342053,8,5,0.0482,time1,0.9166666666666666,1,TIME1,0.8559294342154783,0.7121,0.1212,2.198874497342053,"[4, 12]",1,15.151515151515152,72
1.0,False,0,,72,goleiro_time1,,9,0,0.0757,goleiro1,1.0,1,GOL-TIME1,0.9248600790710477,0.9444,0.0,2.398772178918603,[9],0,0.0,72
1.0,True,0,,40,excluido,,10,0,0.0,excluir,0.5555555555555556,20,EXCLUÍDO,0.6468067200699775,0.0,0.0,1.332651210510335,[19],0,0.0,59
