cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,748.0,748,time0,29.92,0,0,0.3872,time0,0.9973333333333333,3,TIME0,0.9376112648977009,0.9947,0.0,29.92,"[10, 80]",1,1.3368983957219251,750
0.9719251336898396,False,1,727.0,727,time0,29.08,1,21,0.2823,time0,0.9693333333333334,3,TIME0,0.8841105541208831,0.9945,0.2655,29.08,"[7, 46]",1,1.375515818431912,750
1.0,False,0,187.0,748,time0,7.066666666666666,2,0,0.2097,time0,0.9973333333333333,3,TIME0,0.8783397468077928,0.9866,0.9171,29.92,"[18, 30, 44, 65, 77]",4,5.347593582887701,750
1.0,False,0,249.33333333333334,748,time0,6.0,3,0,0.3249,time0,0.9973333333333333,3,TIME0,0.8781649640120008,0.9973,0.1578,29.92,"[1, 2, 3]",3,4.010695187165775,750
0.553475935828877,False,2,207.0,414,time0,6.36,4,242,0.3709,time0,0.552,3,TIME0,0.8442446164905796,0.9758,0.186,16.56,"[14, 88, 96]",2,4.830917874396135,750
1.0,False,0,,748,time0,,5,0,0.3651,time0,0.9973333333333333,3,TIME0,0.9208881246142095,0.9973,0.0,29.92,[20],0,0.0,750
1.0,False,0,,746,time0,,6,0,0.572,time0,0.9946666666666667,5,TIME0,0.9246151573721929,0.996,0.996,29.84,[21],0,0.0,750
1.0,False,0,,748,time0,,7,0,0.4109,time0,0.9973333333333333,3,TIME0,0.9125090902447851,0.9973,0.0,29.92,[4],0,0.0,750
1.0,False,0,748.0,748,time0,29.92,8,0,0.3951,time0,0.9973333333333333,3,TIME0,0.9275647347508518,0.9973,0.0,29.92,"[15, 37]",1,1.3368983957219251,750
1.0,False,0,744.0,744,time0,29.76,9,0,0.3331,time0,0.992,7,TIME0,0.91958856052125,0.9919,0.0,29.76,"[25, 51]",1,1.3440860215053763,750
1.0,False,0,,748,time1,,10,0,0.5229,time1,0.9973333333333333,3,TIME1,0.9044215701164651,0.9973,0.0,29.92,[5],0,0.0,750
1.0,False,0,374.0,748,time1,0.2,11,0,0.3967,time1,0.9973333333333333,3,TIME1,0.9074822870789918,0.9947,0.8516,29.92,"[18, 19, 34]",2,2.6737967914438503,750
1.0,False,0,748.0,748,time1,29.92,12,0,0.4652,time1,0.9973333333333333,3,TIME1,0.89005895118017,0.9973,0.1364,29.92,"[2, 3]",1,1.3368983957219251,750
1.0,False,0,,748,time1,,13,0,0.5193,time1,0.9973333333333333,3,TIME1,0.9257593538008745,0.9973,0.0,29.92,[6],0,0.0,750
1.0,False,0,249.33333333333334,748,time1,12.42,14,0,0.2695,time1,0.9973333333333333,3,TIME1,0.9090119549797715,0.992,0.8422,29.92,"[15, 16, 37, 105]",3,4.010695187165775,750
1.0,False,0,,748,time1,,15,0,0.5626,time1,0.9973333333333333,3,TIME1,0.9351029546630583,0.9973,0.0,29.92,[13],0,0.0,750
1.0,False,0,,748,time1,,16,0,0.5132,time1,0.9973333333333333,3,TIME1,0.9189254587735359,0.9973,0.0,29.92,[17],0,0.0,750
1.0,False,0,374.0,748,time1,0.64,17,0,0.3399,time1,0.9973333333333333,3,TIME1,0.9118109860358538,0.9973,0.0214,29.92,"[1, 3]",2,2.6737967914438503,750
1.0,False,0,,748,time1,,18,0,0.5213,time1,0.9973333333333333,3,TIME1,0.9273860995222057,0.9973,0.0,29.92,[12],0,0.0,750
1.0,False,0,,748,goleiro_time1,,19,0,0.1935,goleiro1,0.9973333333333333,3,GOL-TIME1,0.9296060677076451,0.9973,0.0,29.92,[11],0,0.0,750
1.0,False,0,,748,arbitro,,20,0,0.1874,arbitro,0.9973333333333333,3,ÁRBITRO,0.9405671344875385,0.9973,0.0,29.92,[9],0,0.0,750
1.0,True,0,,748,excluido,,21,0,0.0738,excluir,0.9973333333333333,3,EXCLUÍDO,0.9572119676090597,0.7206,0.7206,29.92,[8],0,0.0,750
0.9638069705093834,True,1,359.5,719,excluido,3.12,22,27,0.3497,excluir,0.9586666666666667,5,EXCLUÍDO,0.8752371749518506,0.9903,0.7163,28.76,"[23, 49, 52]",2,2.7816411682892905,750
0.4811594202898551,True,2,166.0,332,excluido,7.24,23,238,0.0819,excluir,0.44266666666666665,61,EXCLUÍDO,0.7982167777267017,0.5633,0.0,13.28,"[35, 85, 97]",2,6.024096385542169,750
1.0,True,0,,743,excluido,,24,0,0.3662,excluir,0.9906666666666667,8,EXCLUÍDO,0.8969198924508649,0.996,0.996,29.72,[26],0,0.0,750
1.0,True,0,744.0,744,excluido,29.76,25,0,0.2368,excluir,0.992,7,EXCLUÍDO,0.9186471472996979,0.8145,0.8145,29.76,"[16, 24]",1,1.3440860215053763,750
