cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,,31,time1,,0,0,0.0,time1,0.62,20,TIME1,0.6302433484209324,0.0,0.0,1.0328046881455097,[11],0,0.0,50
1.0,False,0,,49,time0,,1,0,0.0955,time0,0.98,2,TIME0,0.943458635394739,0.9388,0.0,1.6324977328751604,[1],0,0.0,50
1.0,False,0,,49,time0,,2,0,0.3493,time0,0.98,2,TIME0,0.9431243654077135,0.9388,0.0,1.6324977328751604,[6],0,0.0,50
1.0,False,0,49.0,49,time0,1.6324977328751604,3,0,0.4352,time0,0.98,2,TIME0,0.9543363258261125,0.9388,0.0,1.6324977328751604,"[5, 10]",1,20.408163265306122,50
1.0,False,0,,49,time0,,4,0,0.0682,time0,0.98,2,TIME0,0.8646019667849963,0.7551,0.0,1.6324977328751604,[4],0,0.0,50
1.0,False,0,,48,time0,,5,0,0.3367,time0,0.96,3,TIME0,0.9389118014100832,0.9583,0.0,1.599181452612402,[2],0,0.0,50
1.0,False,0,,49,time1,,6,0,0.3103,time1,0.98,2,TIME1,0.832831543340976,0.9388,0.9388,1.6324977328751604,[3],0,0.0,50
1.0,False,0,,42,time0,,7,0,0.151,time0,0.84,9,TIME0,0.9441692978370106,0.9524,0.0,1.3992837710358519,[10],0,0.0,50
1.0,False,0,,49,time0,,8,0,0.4265,time0,0.98,2,TIME0,0.954990634807581,0.9388,0.0,1.6324977328751604,[7],0,0.0,50
1.0,False,0,,3,time1,,9,0,0.4121,time1,0.06,48,TIME1,0.6864987980362355,0.3333,0.0,0.09994884078827512,[12],0,0.0,50
1.0,False,0,,49,time1,,10,0,0.4449,time1,0.98,2,TIME1,0.9348432534497518,0.9388,0.0,1.6324977328751604,[8],0,0.0,50
1.0,False,0,,49,time0,,11,0,0.3549,time0,0.98,2,TIME0,0.9193182604546479,0.9388,0.0,1.6324977328751604,[9],0,0.0,50
