cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,,525,time0,,0,0,0.0654,time0,0.9980988593155894,2,TIME0,0.8922568060705371,0.9943,0.0,17.491047137948147,[1],0,0.0,526
1.0,False,0,,525,time0,,1,0,0.0953,time0,0.9980988593155894,2,TIME0,0.9449085521064434,0.9943,0.0,17.491047137948147,[9],0,0.0,526
1.0,False,0,,525,time0,,2,0,0.1059,time0,0.9980988593155894,2,TIME0,0.9309570759713193,0.9943,0.0,17.491047137948147,[2],0,0.0,526
1.0,False,0,,525,time0,,3,0,0.1319,time0,0.9980988593155894,2,TIME0,0.9357639058604157,0.9943,0.0,17.491047137948147,[5],0,0.0,526
1.0,False,0,,525,time0,,4,0,0.115,time0,0.9980988593155894,2,TIME0,0.9347052740059466,0.9943,0.0,17.491047137948147,[7],0,0.0,526
1.0,False,0,262.5,525,time1,6.863153734128225,5,0,0.0941,time1,0.9980988593155894,2,TIME1,0.8477509111060373,0.9943,0.7067,17.491047137948147,"[8, 10, 12]",2,3.8095238095238093,526
1.0,False,0,,525,time1,,6,0,0.0596,time1,0.9980988593155894,2,TIME1,0.8255316127887107,0.6629,0.6629,17.491047137948147,[4],0,0.0,526
1.0,False,0,525.0,525,time1,17.491047137948147,7,0,0.0644,time1,0.9980988593155894,2,TIME1,0.8278588073309094,0.7943,0.0876,17.491047137948147,"[8, 10]",1,1.9047619047619047,526
1.0,False,0,,525,time1,,8,0,0.0598,time1,0.9980988593155894,2,TIME1,0.8340790004961257,0.9943,0.0,17.491047137948147,[6],0,0.0,526
1.0,False,0,525.0,525,goleiro_time1,17.491047137948147,9,0,0.0826,goleiro1,0.9980988593155894,2,GOL-TIME1,0.8952305477637151,0.941,0.0,17.491047137948147,"[3, 21]",1,1.9047619047619047,526
0.6879795396419437,True,3,67.25,269,excluido,1.9878713890112496,10,58,0.0,excluir,0.5114068441064639,20,EXCLUÍDO,0.647997342489277,0.0,0.0,8.962079390682003,"[11, 14, 16, 18, 19]",4,14.869888475836431,410
