cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,,525,time0,,0,0,0.0372,time0,0.9980988593155894,2,TIME0,0.8847869112253288,0.9943,0.0,17.491047137948147,[1],0,0.0,526
1.0,False,0,,525,time0,,1,0,0.0303,time0,0.9980988593155894,2,TIME0,0.8554677331978863,0.9943,0.0,17.491047137948147,[9],0,0.0,526
1.0,False,0,,525,time0,,2,0,0.0285,time0,0.9980988593155894,2,TIME0,0.8665026542089723,0.9943,0.0,17.491047137948147,[2],0,0.0,526
1.0,False,0,,525,time0,,3,0,0.0372,time0,0.9980988593155894,2,TIME0,0.8576774114090637,0.9943,0.0,17.491047137948147,[5],0,0.0,526
1.0,False,0,,525,time0,,4,0,0.0213,time0,0.9980988593155894,2,TIME0,0.8570917655856151,0.0,0.0,17.491047137948147,[7],0,0.0,526
1.0,False,0,525.0,525,time1,17.491047137948147,5,0,0.0427,time1,0.9980988593155894,2,TIME1,0.836105598402425,0.5219,0.5219,17.491047137948147,"[8, 10]",1,1.9047619047619047,526
1.0,False,0,,525,time1,,6,0,0.023,time1,0.9980988593155894,2,TIME1,0.8467317937012868,0.9943,0.0,17.491047137948147,[4],0,0.0,526
1.0,False,0,525.0,525,time1,17.491047137948147,7,0,0.0281,time1,0.9980988593155894,2,TIME1,0.8504474274697076,0.7067,0.7067,17.491047137948147,"[8, 10]",1,1.9047619047619047,526
1.0,False,0,,525,time1,,8,0,0.0206,time1,0.9980988593155894,2,TIME1,0.8584663499856088,0.9943,0.0,17.491047137948147,[6],0,0.0,526
1.0,False,0,525.0,525,goleiro_time1,17.491047137948147,9,0,0.0215,goleiro1,0.9980988593155894,2,GOL-TIME1,0.8619906615415548,0.9943,0.0533,17.491047137948147,"[3, 12]",1,1.9047619047619047,526
0.6879795396419437,True,3,67.25,269,excluido,1.9878713890112496,10,58,0.0,excluir,0.5114068441064639,20,EXCLUÍDO,0.647997342489277,0.0,0.0,8.962079390682003,"[11, 14, 16, 18, 19]",4,14.869888475836431,410
