cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,,525,time0,,0,0,0.1162,time0,0.9980988593155894,2,TIME0,0.9613336323139938,0.9943,0.0,17.491047137948147,[1],0,0.0,526
1.0,False,0,,525,time0,,1,0,0.0886,time0,0.9980988593155894,2,TIME0,0.9001405678973624,0.9943,0.0,17.491047137948147,[9],0,0.0,526
1.0,False,0,,525,time0,,2,0,0.108,time0,0.9980988593155894,2,TIME0,0.9299207400004329,0.9943,0.0,17.491047137948147,[2],0,0.0,526
1.0,False,0,,525,time0,,3,0,0.1371,time0,0.9980988593155894,2,TIME0,0.9120111702418102,0.9943,0.0,17.491047137948147,[5],0,0.0,526
1.0,False,0,,525,time0,,4,0,0.1001,time0,0.9980988593155894,2,TIME0,0.8458179024304978,0.8743,0.8743,17.491047137948147,[7],0,0.0,526
1.0,False,0,262.5,525,time1,6.7632048933399505,5,0,0.1965,time1,0.9980988593155894,2,TIME1,0.9222900307162903,0.9943,0.0,17.491047137948147,"[8, 10, 12]",2,3.8095238095238093,526
1.0,False,0,,525,time1,,6,0,0.1425,time1,0.9980988593155894,2,TIME1,0.9036706576319607,0.9943,0.0,17.491047137948147,[4],0,0.0,526
1.0,False,0,525.0,525,time1,17.491047137948147,7,0,0.2419,time1,0.9980988593155894,2,TIME1,0.9244734262226334,0.9829,0.0,17.491047137948147,"[8, 10]",1,1.9047619047619047,526
1.0,False,0,,525,time1,,8,0,0.0548,time1,0.9980988593155894,2,TIME1,0.8350460985650932,0.9943,0.9943,17.491047137948147,[6],0,0.0,526
1.0,False,0,525.0,525,goleiro_time1,17.491047137948147,9,0,0.078,goleiro1,0.9980988593155894,2,GOL-TIME1,0.9264989341701243,0.941,0.0,17.491047137948147,"[3, 21]",1,1.9047619047619047,526
0.6879795396419437,True,3,67.25,269,excluido,1.9878713890112496,10,58,0.0,excluir,0.5114068441064639,20,EXCLUÍDO,0.647997342489277,0.0,0.0,8.962079390682003,"[11, 14, 16, 18, 19]",4,14.869888475836431,410
