cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,,525,time0,,0,0,0.0148,time0,0.9980988593155894,2,TIME0,0.8920769337231212,0.0,0.0,17.491047137948147,[1],0,0.0,526
1.0,False,0,,525,time0,,1,0,0.0145,time0,0.9980988593155894,2,TIME0,0.8665362875078642,0.0,0.0,17.491047137948147,[9],0,0.0,526
1.0,False,0,,525,time0,,2,0,0.0104,time0,0.9980988593155894,2,TIME0,0.8709955300991183,0.0,0.0,17.491047137948147,[2],0,0.0,526
1.0,False,0,,525,time0,,3,0,0.0227,time0,0.9980988593155894,2,TIME0,0.853214695503584,0.0,0.0,17.491047137948147,[5],0,0.0,526
1.0,False,0,,525,time0,,4,0,0.02,time0,0.9980988593155894,2,TIME0,0.8699085671404669,0.0,0.0,17.491047137948147,[7],0,0.0,526
1.0,False,0,525.0,525,time1,17.491047137948147,5,0,0.0203,time1,0.9980988593155894,2,TIME1,0.8490061476976405,0.0,0.0,17.491047137948147,"[8, 10]",1,1.9047619047619047,526
1.0,False,0,,525,time1,,6,0,0.0105,time1,0.9980988593155894,2,TIME1,0.8601136233504817,0.0,0.0,17.491047137948147,[4],0,0.0,526
1.0,False,0,525.0,525,time1,17.491047137948147,7,0,0.0166,time1,0.9980988593155894,2,TIME1,0.8665106206831478,0.0,0.0,17.491047137948147,"[8, 10]",1,1.9047619047619047,526
1.0,False,0,,525,time1,,8,0,0.0112,time1,0.9980988593155894,2,TIME1,0.8670614398546033,0.0,0.0,17.491047137948147,[6],0,0.0,526
1.0,False,0,525.0,525,goleiro_time1,17.491047137948147,9,0,0.0274,goleiro1,0.9980988593155894,2,GOL-TIME1,0.8941927435400238,0.9352,0.0,17.491047137948147,"[3, 12]",1,1.9047619047619047,526
0.6879795396419437,True,3,67.25,269,excluido,1.9878713890112496,10,58,0.0,excluir,0.5114068441064639,20,EXCLUÍDO,0.647997342489277,0.0,0.0,8.962079390682003,"[11, 14, 16, 18, 19]",4,14.869888475836431,410
