cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,,525,time0,,0,0,0.1178,time0,0.9980988593155894,2,TIME0,0.9823290998548176,0.9943,0.0,17.491047137948147,[1],0,0.0,526
1.0,False,0,,525,time0,,1,0,0.0741,time0,0.9980988593155894,2,TIME0,0.9224919092810074,0.9943,0.0,17.491047137948147,[9],0,0.0,526
1.0,False,0,,525,time0,,2,0,0.0571,time0,0.9980988593155894,2,TIME0,0.9173054546099367,0.9943,0.0,17.491047137948147,[2],0,0.0,526
1.0,False,0,,525,time0,,3,0,0.0799,time0,0.9980988593155894,2,TIME0,0.9156132771800185,0.9943,0.0,17.491047137948147,[5],0,0.0,526
1.0,False,0,,525,time0,,4,0,0.0385,time0,0.9980988593155894,2,TIME0,0.8708758001226192,0.9943,0.0,17.491047137948147,[7],0,0.0,526
1.0,False,0,262.5,525,time1,6.7632048933399505,5,0,0.0623,time1,0.9980988593155894,2,TIME1,0.8949421883589568,0.9943,0.0,17.491047137948147,"[8, 10, 12]",2,3.8095238095238093,526
1.0,False,0,,525,time1,,6,0,0.0409,time1,0.9980988593155894,2,TIME1,0.8668956140742403,0.7029,0.0,17.491047137948147,[4],0,0.0,526
1.0,False,0,525.0,525,time1,17.491047137948147,7,0,0.0396,time1,0.9980988593155894,2,TIME1,0.8702424499162911,0.8686,0.0,17.491047137948147,"[8, 10]",1,1.9047619047619047,526
1.0,False,0,,525,time1,,8,0,0.0476,time1,0.9980988593155894,2,TIME1,0.8661364679795412,0.9943,0.0,17.491047137948147,[6],0,0.0,526
1.0,False,0,525.0,525,goleiro_time1,17.491047137948147,9,0,0.0647,goleiro1,0.9980988593155894,2,GOL-TIME1,0.9033668771378431,0.941,0.0,17.491047137948147,"[3, 21]",1,1.9047619047619047,526
0.6879795396419437,True,3,67.25,269,excluido,1.9878713890112496,10,58,0.0,excluir,0.5114068441064639,20,EXCLUÍDO,0.647997342489277,0.0,0.0,8.962079390682003,"[11, 14, 16, 18, 19]",4,14.869888475836431,410
