cobertura,excluido,fragmentacoes,frames_por_troca,frames_vistos,grupo_metrica,intervalo_medio_trocas_segundos,logical_id,maior_gap_frames,margem_media_classificacao,papel,presenca,primeiro_frame,rotulo,score_medio,taxa_confirmacao_papel,taxa_divergencia_papel,tempo_visto_segundos,tracker_ids,trocas_de_tracker_id,trocas_por_1000_frames,ultimo_frame
1.0,False,0,374.5,749,time0,0.48,0,0,0.1483,time0,0.9986666666666667,2,TIME0,0.9501084144460121,0.996,0.0,29.96,"[13, 26]",2,2.67022696929239,750
1.0,False,0,,749,time0,,1,0,0.1381,time0,0.9986666666666667,2,TIME0,0.9644088810194819,0.996,0.0,29.96,[15],0,0.0,750
1.0,False,0,,749,time0,,2,0,0.1325,time0,0.9986666666666667,2,TIME0,0.9420303816623421,0.996,0.0,29.96,[18],0,0.0,750
1.0,False,0,749.0,749,time0,29.96,3,0,0.1299,time0,0.9986666666666667,2,TIME0,0.9225299514567067,0.996,0.3952,29.96,"[5, 9]",1,1.335113484646195,750
1.0,False,0,749.0,749,time0,29.96,4,0,0.1023,time0,0.9986666666666667,2,TIME0,0.9561300826731313,0.996,0.0,29.96,"[3, 4]",1,1.335113484646195,750
1.0,False,0,749.0,749,time0,29.96,5,0,0.1088,time0,0.9986666666666667,2,TIME0,0.9544835973820963,0.992,0.0,29.96,"[3, 4]",1,1.335113484646195,750
1.0,False,0,,749,time0,,6,0,0.0989,time0,0.9986666666666667,2,TIME0,0.9572927636334054,0.996,0.0,29.96,[16],0,0.0,750
1.0,False,0,,749,time0,,7,0,0.1105,time0,0.9986666666666667,2,TIME0,0.9557438640225441,0.996,0.0,29.96,[6],0,0.0,750
1.0,False,0,,749,time0,,8,0,0.114,time0,0.9986666666666667,2,TIME0,0.8543721510182827,0.996,0.0,29.96,[10],0,0.0,750
1.0,False,0,,749,time0,,9,0,0.1482,time0,0.9986666666666667,2,TIME0,0.9361406897539672,0.996,0.0,29.96,[11],0,0.0,750
1.0,False,0,374.5,749,time1,0.2,10,0,0.1238,time1,0.9986666666666667,2,TIME1,0.9263296094036716,0.9947,0.0,29.96,"[20, 24]",2,2.67022696929239,750
1.0,False,0,,749,time1,,11,0,0.127,time1,0.9986666666666667,2,TIME1,0.9444089176627106,0.996,0.0,29.96,[17],0,0.0,750
1.0,False,0,,749,time1,,12,0,0.1191,time1,0.9986666666666667,2,TIME1,0.9020101243969261,0.996,0.0,29.96,[7],0,0.0,750
1.0,False,0,,749,time1,,13,0,0.1227,time1,0.9986666666666667,2,TIME1,0.9532906215821009,0.996,0.0,29.96,[2],0,0.0,750
1.0,False,0,374.5,749,time1,7.8,14,0,0.1135,time1,0.9986666666666667,2,TIME1,0.9312911007724956,0.996,0.3952,29.96,"[5, 9, 14]",2,2.67022696929239,750
1.0,False,0,,749,time1,,15,0,0.0982,time1,0.9986666666666667,2,TIME1,0.9521825653388999,0.996,0.0,29.96,[19],0,0.0,750
1.0,False,0,,749,time1,,16,0,0.0909,time1,0.9986666666666667,2,TIME1,0.9385010045328567,0.996,0.0,29.96,[8],0,0.0,750
1.0,False,0,,749,time1,,17,0,0.1194,time1,0.9986666666666667,2,TIME1,0.9599245757442026,0.996,0.0,29.96,[12],0,0.0,750
1.0,False,0,749.0,749,time1,29.96,18,0,0.114,time1,0.9986666666666667,2,TIME1,0.8600576535649311,0.996,0.0,29.96,"[1, 28]",1,1.335113484646195,750
1.0,False,0,749.0,749,time1,29.96,19,0,0.143,time1,0.9986666666666667,2,TIME1,0.9562105271232025,0.996,0.0,29.96,"[5, 14]",1,1.335113484646195,750
