<<<<<<< HEAD
﻿cobertura,frames_vistos,logical_id,time,trocas
0.9425901201602136,706,0,1,1
0.9973297730307076,747,1,1,3
0.9959946595460614,746,2,1,1
1.0,696,3,1,0
0.989247311827957,644,4,1,7
0.9860724233983287,708,5,1,5
1.0,684,6,1,0
0.9781718963165075,717,7,1,3
0.9825033647375505,730,8,1,2
0.9472972972972973,701,9,2,2
0.8123324396782842,606,10,2,5
0.9933155080213903,743,11,2,2
0.8736681887366818,574,12,2,7
0.9630642954856361,704,13,2,5
0.9077340569877883,669,14,2,2
0.968,726,15,2,5
0.9813084112149533,735,16,2,5
0.9959946595460614,746,17,2,0
=======
﻿cobertura,frames_vistos,logical_id,time,trocas
0.9425901201602136,706,0,1,1
0.9973297730307076,747,1,1,3
0.9959946595460614,746,2,1,1
1.0,696,3,1,0
0.989247311827957,644,4,1,7
0.9860724233983287,708,5,1,5
1.0,684,6,1,0
0.9781718963165075,717,7,1,3
0.9825033647375505,730,8,1,2
0.9472972972972973,701,9,2,2
0.8123324396782842,606,10,2,5
0.9933155080213903,743,11,2,2
0.8736681887366818,574,12,2,7
0.9630642954856361,704,13,2,5
0.9077340569877883,669,14,2,2
0.968,726,15,2,5
0.9813084112149533,735,16,2,5
0.9959946595460614,746,17,2,0
>>>>>>> 4dc20829d235225851d5c4a93b2901c22a9453e9
