epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4473,1.21293,2.36516,0.001,0.68898,0.62376,0.67897,0.49393,0.86236,1.28717,0.00111,0.000413279,0.000413279,0.000413279
2,83.4526,1.10639,1.05159,0.00089,0.89805,0.73705,0.81312,0.5773,0.85726,0.78886,0.0011,0.000829856,0.000829856,0.000829856
3,113.629,1.15882,0.82294,0.00094,0.78345,0.79255,0.81887,0.57567,0.89991,0.64508,0.0011,0.00124607,0.00124607,0.00124607
4,144.85,1.13607,0.68862,0.00093,0.87555,0.78317,0.83691,0.56323,0.94838,0.53356,0.00115,0.00124878,0.00124878,0.00124878
5,174.552,1.14213,0.60745,0.00092,0.9049,0.79551,0.84515,0.5931,0.87631,0.46795,0.00108,0.00124783,0.00124783,0.00124783
6,204.594,1.07186,0.55875,0.00085,0.93352,0.79643,0.85104,0.59697,0.90134,0.4341,0.00114,0.00124661,0.00124661,0.00124661
7,234.712,1.05795,0.50779,0.00088,0.90063,0.83115,0.85779,0.6029,0.81963,0.3802,0.00102,0.00124512,0.00124512,0.00124512
8,265.606,1.05636,0.47894,0.00085,0.91316,0.79669,0.84903,0.60189,0.89677,0.38396,0.0011,0.00124336,0.00124336,0.00124336
9,295.913,1.06314,0.44583,0.00086,0.92294,0.80685,0.85915,0.59431,0.93012,0.39272,0.00122,0.00124134,0.00124134,0.00124134
10,325.495,1.04738,0.42586,0.00086,0.93011,0.81936,0.86667,0.61761,0.85823,0.36738,0.0011,0.00123904,0.00123904,0.00123904
11,355.586,1.04557,0.41873,0.00081,0.83021,0.85304,0.8565,0.60883,0.79326,0.32382,0.00101,0.00123648,0.00123648,0.00123648
12,386.495,1.00493,0.41245,0.00082,0.94106,0.80211,0.84619,0.61128,0.83261,0.34445,0.00108,0.00123365,0.00123365,0.00123365
13,416.759,1.02004,0.40552,0.00082,0.92636,0.78265,0.8576,0.61666,0.795,0.33054,0.00099,0.00123056,0.00123056,0.00123056
14,446.641,1.01246,0.38906,0.00078,0.90616,0.80264,0.84941,0.62042,0.81801,0.33516,0.00106,0.00122721,0.00122721,0.00122721
15,476.925,0.97781,0.37584,0.00078,0.94919,0.82581,0.86021,0.61445,0.83417,0.31957,0.00106,0.00122359,0.00122359,0.00122359
16,508.341,0.96806,0.365,0.00077,0.90199,0.81835,0.85887,0.63213,0.78632,0.31486,0.00097,0.00121972,0.00121972,0.00121972
17,538.056,0.98928,0.3811,0.00078,0.91741,0.83247,0.86484,0.61782,0.81272,0.33072,0.00103,0.00121558,0.00121558,0.00121558
18,567.627,0.97661,0.3739,0.00078,0.87933,0.83804,0.86519,0.62516,0.85582,0.34046,0.0012,0.00121119,0.00121119,0.00121119
19,597.458,1.01817,0.37699,0.00084,0.90985,0.80244,0.86722,0.61003,0.83177,0.31773,0.0011,0.00120655,0.00120655,0.00120655
20,628.503,0.9815,0.36066,0.00077,0.96284,0.81466,0.87199,0.63046,0.79776,0.30339,0.00098,0.00120165,0.00120165,0.00120165
21,658.247,0.94043,0.35067,0.00073,0.89131,0.84896,0.86439,0.63572,0.77928,0.28904,0.00096,0.00119651,0.00119651,0.00119651
22,688.099,0.95603,0.34499,0.00074,0.90896,0.82519,0.86156,0.62959,0.78996,0.30337,0.00098,0.00119111,0.00119111,0.00119111
23,717.712,0.954,0.34117,0.00074,0.87777,0.84629,0.85671,0.62264,0.76483,0.30016,0.00094,0.00118547,0.00118547,0.00118547
24,748.175,0.92779,0.32292,0.00073,0.91791,0.82446,0.85943,0.63012,0.7866,0.31117,0.00095,0.00117959,0.00117959,0.00117959
25,779.615,0.95887,0.33109,0.00074,0.94669,0.81317,0.86865,0.64444,0.76821,0.30853,0.00099,0.00117346,0.00117346,0.00117346
26,810.597,0.96048,0.33491,0.00074,0.91443,0.85111,0.86566,0.64228,0.78098,0.29405,0.00099,0.0011671,0.0011671,0.0011671
27,841.325,0.92685,0.32334,0.00075,0.92971,0.84314,0.87308,0.6441,0.77828,0.29351,0.00098,0.00116051,0.00116051,0.00116051
28,872.605,0.91362,0.31944,0.00072,0.91073,0.83985,0.86675,0.62748,0.78409,0.29186,0.00095,0.00115368,0.00115368,0.00115368
29,902.767,0.91465,0.31412,0.00071,0.89885,0.84209,0.86673,0.62228,0.79405,0.29633,0.00099,0.00114662,0.00114662,0.00114662
30,933.308,0.95415,0.32972,0.00073,0.9467,0.81643,0.85504,0.6257,0.81628,0.30911,0.001,0.00113934,0.00113934,0.00113934
31,964.653,0.89428,0.29813,0.0007,0.93425,0.83521,0.86403,0.64566,0.75634,0.27893,0.00093,0.00113183,0.00113183,0.00113183
32,996.638,0.89012,0.30079,0.0007,0.90893,0.83551,0.85591,0.62219,0.75022,0.28202,0.00098,0.0011241,0.0011241,0.0011241
33,1027.3,0.88458,0.29226,0.00068,0.95668,0.84385,0.86202,0.63537,0.77928,0.28132,0.00096,0.00111616,0.00111616,0.00111616
34,1057.96,0.91859,0.30276,0.00071,0.951,0.83915,0.86925,0.64861,0.76698,0.27685,0.00099,0.00110801,0.00110801,0.00110801
35,1089.95,0.92769,0.31028,0.00072,0.88305,0.84662,0.86045,0.6329,0.78138,0.29358,0.00096,0.00109964,0.00109964,0.00109964
36,1120.32,0.91427,0.29899,0.00069,0.96491,0.8118,0.86696,0.65047,0.75893,0.2908,0.00096,0.00109107,0.00109107,0.00109107
37,1150.6,0.90483,0.29872,0.00071,0.92592,0.84319,0.86782,0.63449,0.77598,0.29109,0.00095,0.0010823,0.0010823,0.0010823
38,1180.73,0.89098,0.2926,0.00067,0.94994,0.85717,0.87628,0.6447,0.75026,0.28249,0.00092,0.00107333,0.00107333,0.00107333
39,1211.51,0.87196,0.28423,0.00067,0.96269,0.83272,0.86621,0.63523,0.79418,0.29153,0.00102,0.00106417,0.00106417,0.00106417
40,1242.05,0.88617,0.29184,0.00069,0.93764,0.83167,0.85854,0.63046,0.77263,0.28414,0.00095,0.00105481,0.00105481,0.00105481
41,1272.37,0.89485,0.29333,0.00068,0.91484,0.85296,0.86451,0.63282,0.77219,0.28679,0.00097,0.00104527,0.00104527,0.00104527
42,1302.62,0.87886,0.28715,0.00068,0.91475,0.86051,0.87179,0.63823,0.75816,0.27426,0.00093,0.00103555,0.00103555,0.00103555
43,1334.55,0.92021,0.30102,0.00071,0.95223,0.8379,0.87025,0.64205,0.81054,0.28894,0.00103,0.00102566,0.00102566,0.00102566
44,1365.14,0.8969,0.29528,0.00069,0.96154,0.8523,0.87643,0.63092,0.74885,0.27831,0.00093,0.00101559,0.00101559,0.00101559
45,1395.45,0.88527,0.29015,0.00066,0.96144,0.79991,0.85748,0.63169,0.76383,0.29187,0.00094,0.00100535,0.00100535,0.00100535
46,1425.82,0.91277,0.2911,0.0007,0.98042,0.81469,0.86569,0.6309,0.77028,0.28604,0.001,0.000994942,0.000994942,0.000994942
47,1457.38,0.88414,0.2845,0.00068,0.96641,0.79804,0.86387,0.63246,0.75871,0.27953,0.00095,0.000984379,0.000984379,0.000984379
48,1487.16,0.86475,0.27764,0.00065,0.98456,0.8179,0.86079,0.61485,0.74912,0.29127,0.00093,0.000973661,0.000973661,0.000973661
49,1517.36,0.87963,0.27994,0.00066,0.9577,0.80157,0.8583,0.61726,0.81179,0.29748,0.00101,0.000962793,0.000962793,0.000962793
50,1547.39,0.85114,0.26735,0.00065,0.88836,0.83644,0.84253,0.6187,0.75017,0.27242,0.00092,0.000951779,0.000951779,0.000951779
51,1578.43,0.86538,0.28029,0.00065,0.93201,0.84776,0.8743,0.63956,0.77214,0.26962,0.00095,0.000940625,0.000940625,0.000940625
52,1608.4,0.88408,0.28707,0.00066,0.88248,0.86072,0.86306,0.63541,0.7644,0.26448,0.00094,0.000929335,0.000929335,0.000929335
53,1638.26,0.87215,0.28161,0.00065,0.96241,0.79919,0.85511,0.62777,0.75383,0.277,0.00095,0.000917914,0.000917914,0.000917914
54,1667.56,0.87662,0.27648,0.00065,0.94885,0.83288,0.87232,0.62488,0.79461,0.2924,0.00096,0.000906368,0.000906368,0.000906368
55,1698.11,0.86399,0.2691,0.00066,0.92468,0.83471,0.86834,0.63709,0.75233,0.27731,0.00094,0.000894701,0.000894701,0.000894701
56,1729.09,0.85206,0.2756,0.00065,0.94815,0.80818,0.85179,0.62503,0.7649,0.29382,0.00095,0.000882918,0.000882918,0.000882918
57,1759.35,0.85863,0.27528,0.00065,0.96563,0.82514,0.85244,0.63102,0.77858,0.27309,0.00095,0.000871025,0.000871025,0.000871025
58,1789.58,0.86102,0.27325,0.00065,0.92203,0.81848,0.85184,0.6229,0.76445,0.27794,0.00093,0.000859027,0.000859027,0.000859027
59,1820.37,0.82822,0.25928,0.00062,0.96011,0.81907,0.85373,0.6281,0.73991,0.27494,0.00093,0.000846929,0.000846929,0.000846929
60,1851.21,0.82138,0.26122,0.00062,0.90973,0.83034,0.85992,0.63091,0.7516,0.29321,0.00094,0.000834736,0.000834736,0.000834736
61,1881.43,0.86713,0.2787,0.00066,0.9158,0.8406,0.87002,0.62933,0.77129,0.27886,0.00096,0.000822454,0.000822454,0.000822454
62,1910.82,0.81989,0.25752,0.00062,0.9263,0.83729,0.8688,0.62856,0.76575,0.28104,0.00096,0.000810088,0.000810088,0.000810088
63,1941.52,0.84887,0.26836,0.00064,0.93152,0.82961,0.87191,0.63234,0.75472,0.28197,0.00094,0.000797644,0.000797644,0.000797644
64,1971.49,0.81947,0.2568,0.00061,0.91257,0.83343,0.86147,0.63239,0.75107,0.27772,0.00094,0.000785127,0.000785127,0.000785127
65,2000.88,0.80317,0.25248,0.00061,0.90296,0.83321,0.85862,0.62538,0.78215,0.27765,0.00095,0.000772542,0.000772542,0.000772542
66,2030.62,0.8187,0.25674,0.00061,0.96971,0.80494,0.85578,0.62437,0.75944,0.26823,0.00092,0.000759895,0.000759895,0.000759895
